article_id,source,sent_idx,score,sentence
laysumm_elife_0006,eLife,1,0.839484691619873,Many decisions happen by the brain collecting bits of uncertain or noisy information until it reaches a certain point to make a choice.
laysumm_elife_0006,eLife,2,0.7652271389961243,"This way of deciding helps explain how the strength of what we see or hear affects how fast, how accurate, and how confident we are in our choices."
laysumm_elife_0006,eLife,3,0.6540675163269043,"Interestingly, the theory predicts that when the information is noisier, people will decide faster and feel more confident, even though their accuracy goes down."
laysumm_elife_0006,eLife,4,0.3451549708843231,"To test this, the researchers created a new way to add random noise to parts of the brain that process motion, and they confirmed this effect by recording brain activity in monkeys."
laysumm_elife_0006,eLife,5,0.38257086277008057,"They found that both humans and monkeys made faster and more confident decisions when the noise was increased, while their accuracy stayed mostly the same across different types of motion stimuli."
laysumm_elife_0006,eLife,6,0.3555246591567993,"The size of these changes matched what the evidence accumulation theory predicted, supporting the idea that the brain uses this process to make decisions."
laysumm_elife_0026,eLife,1,0.3968643248081207,"Because of this change, UBC13 can no longer work with TRAF6 to trigger an important immune response inside cells."
laysumm_elife_0026,eLife,2,0.5316511988639832,"We found that this chemical change weakens how UBC13 and TRAF6 stick together by disturbing both their usual stable contacts and their brief, temporary ones."
laysumm_elife_0026,eLife,3,0.5563575625419617,The change causes UBC13 to form a new internal bond that competes with an important bond it normally makes with TRAF6.
laysumm_elife_0026,eLife,4,0.6685196161270142,This competition between bonds stops the temporary interactions that are needed for UBC13 and the TRAF6 RING domain to form their usual complex.
laysumm_elife_0026,eLife,5,0.3848104774951935,"Also, the new negative charge on UBC13 and the negative surface of TRAF6 push each other away, which further blocks these temporary contacts."
laysumm_elife_0026,eLife,6,0.3996463119983673,"This repulsion specifically involves the new negative charge on UBC13 and the negatively charged surface of the TRAF6 RING domain, further blocking these temporary contacts."
laysumm_elife_0026,eLife,7,0.3968643248081207,"Overall, this work shows how a small chemical change after a protein is made can change its shape and stability, stopping it from binding properly to other proteins."
laysumm_elife_0028,eLife,1,0.6332319378852844,"Working memory, which helps us hold and use information for a short time, relies on many parts of the brain working together as a large network."
laysumm_elife_0028,eLife,2,0.5375486016273499,"One way these distant brain areas coordinate is through rhythmic brain waves that sync up, helping them share information effectively."
laysumm_elife_0028,eLife,3,0.40779516100883484,"But until now, there has been little direct proof that changing these brain waves actually causes changes in brain activity and behavior in people."
laysumm_elife_0028,eLife,4,0.42921242117881775,"In this study, we used a safe and non-invasive electrical stimulation technique called transcranial alternating current stimulation, or tACS, to change brain waves in a specific network on the right side of the brain that supports working memory."
