model,pipeline_variant,metric,direct,pipeline,direct_minus_pipeline
gemini25_flash_non_thinking,generated,ROUGE,0.29261164074435086,0.30489497547449157,-0.012283334730140705
gemini25_flash_non_thinking,generated,BLEU,3.3820356457872878,6.15866362689082,-2.776627981103532
gemini25_flash_non_thinking,generated,METEOR,0.31395793011476547,0.23864499150571242,0.07531293860905305
gemini25_flash_non_thinking,generated,BERTScore,0.8377321243286133,0.847356104850769,-0.009623980522155628
gemini25_flash_non_thinking,generated,FKGL,11.7033194063121,12.11434992650712,-0.41103052019501973
gemini25_flash_non_thinking,generated,DCRS,11.340875518433005,13.456629421265863,-2.115753902832857
gemini25_flash_non_thinking,generated,CLI,13.023409166195005,16.588207291774744,-3.5647981255797383
gemini25_flash_non_thinking,generated,LENS,65.40452765427926,66.33131193737736,-0.926784283098101
gemini25_flash_non_thinking,generated,AlignScore,0.512195622175932,0.941337987780571,-0.42914236560463903
gemini25_flash_non_thinking,generated,SummaC,0.5208310648798943,0.9187874168157577,-0.39795635193586343
gemini25_flash_non_thinking,rewritten,ROUGE,0.29261164074435086,0.32390083144376125,-0.031289190699410385
gemini25_flash_non_thinking,rewritten,BLEU,3.3820356457872878,8.207904569601956,-4.825868923814668
gemini25_flash_non_thinking,rewritten,METEOR,0.31395793011476547,0.26355588508141514,0.05040204503335033
gemini25_flash_non_thinking,rewritten,BERTScore,0.8377321243286133,0.8483900099992752,-0.010657885670661837
gemini25_flash_non_thinking,rewritten,FKGL,11.7033194063121,12.01920428869898,-0.31588488238687873
gemini25_flash_non_thinking,rewritten,DCRS,11.340875518433005,13.382183630770577,-2.041308112337571
gemini25_flash_non_thinking,rewritten,CLI,13.023409166195005,16.433809463878717,-3.4104002976837116
gemini25_flash_non_thinking,rewritten,LENS,65.40452765427926,58.472852588102214,6.93167506617705
gemini25_flash_non_thinking,rewritten,AlignScore,0.512195622175932,0.9328356713056565,-0.4206400491297245
gemini25_flash_non_thinking,rewritten,SummaC,0.5208310648798943,0.9240107715129853,-0.403179706633091
gpt41_mini,generated,ROUGE,0.3072603511861266,0.29716173580346994,0.010098615382656662
gpt41_mini,generated,BLEU,4.445571577401727,5.077675528920788,-0.6321039515190616
gpt41_mini,generated,METEOR,0.3014438533334869,0.22954393898318437,0.07189991435030252
gpt41_mini,generated,BERTScore,0.846923291683197,0.8469455271959305,-2.223551273350388e-05
gpt41_mini,generated,FKGL,13.04221079941921,11.541543801382065,1.5006669980371452
gpt41_mini,generated,DCRS,11.623597309103086,13.543339276767082,-1.9197419676639953
gpt41_mini,generated,CLI,13.92082883652369,16.116677516528185,-2.195848680004495
gpt41_mini,generated,LENS,76.65957261628989,68.1430541043878,8.516518511902092
gpt41_mini,generated,AlignScore,0.5302171885967255,0.8622997164726257,-0.3320825278759002
gpt41_mini,generated,SummaC,0.48222891539335255,0.8211905270814897,-0.3389616116881371
gpt41_mini,rewritten,ROUGE,0.3072603511861266,0.319698819559977,-0.012438468373850375
gpt41_mini,rewritten,BLEU,4.445571577401727,7.133504795588053,-2.687933218186326
gpt41_mini,rewritten,METEOR,0.3014438533334869,0.2518389531519073,0.04960490018157959
gpt41_mini,rewritten,BERTScore,0.846923291683197,0.8495107561349868,-0.0025874644517898115
gpt41_mini,rewritten,FKGL,13.04221079941921,11.483259479996889,1.558951319422322
gpt41_mini,rewritten,DCRS,11.623597309103086,13.51961903140909,-1.8960217223060027
gpt41_mini,rewritten,CLI,13.92082883652369,15.946391470350399,-2.025562633826709
gpt41_mini,rewritten,LENS,76.65957261628989,59.95940800637812,16.700164609911774
gpt41_mini,rewritten,AlignScore,0.5302171885967255,0.8655896663665772,-0.3353724777698517
gpt41_mini,rewritten,SummaC,0.48222891539335255,0.8589603036642075,-0.37673138827085495
gemini3_flash_preview_minimal,generated,ROUGE,0.2859810576004969,0.32810367548025016,-0.042122617879753244
gemini3_flash_preview_minimal,generated,BLEU,2.8024607612783017,4.563647532889581,-1.7611867716112792
gemini3_flash_preview_minimal,generated,METEOR,0.2997475520698684,0.25254608111615373,0.047201470953714686
gemini3_flash_preview_minimal,generated,BERTScore,0.8322553902864456,0.8504370003938675,-0.01818161010742192
gemini3_flash_preview_minimal,generated,FKGL,12.670012129081023,11.964602218884341,0.705409910196682
gemini3_flash_preview_minimal,generated,DCRS,11.588127685609093,12.99046011034865,-1.4023324247395568
gemini3_flash_preview_minimal,generated,CLI,13.429249743862318,16.22323969566123,-2.7939899517989133
gemini3_flash_preview_minimal,generated,LENS,59.198728288085704,68.74465142919712,-9.545923141111416
gemini3_flash_preview_minimal,generated,AlignScore,0.42118767872452734,0.8669635206460953,-0.44577584192156794
gemini3_flash_preview_minimal,generated,SummaC,0.512061370909214,0.7889495640993118,-0.27688819319009783
gemini3_flash_preview_minimal,rewritten,ROUGE,0.2859810576004969,0.3279809116819295,-0.041999854081432586
gemini3_flash_preview_minimal,rewritten,BLEU,2.8024607612783017,4.494612771484944,-1.6921520102066427
gemini3_flash_preview_minimal,rewritten,METEOR,0.2997475520698684,0.25464671107035375,0.04510084099951467
gemini3_flash_preview_minimal,rewritten,BERTScore,0.8322553902864456,0.8500239729881287,-0.017768582701683133
gemini3_flash_preview_minimal,rewritten,FKGL,12.670012129081023,11.96704446674252,0.7029676623385033
gemini3_flash_preview_minimal,rewritten,DCRS,11.588127685609093,12.9928520080611,-1.4047243224520063
gemini3_flash_preview_minimal,rewritten,CLI,13.429249743862318,16.21579759695194,-2.7865478530896226
gemini3_flash_preview_minimal,rewritten,LENS,59.198728288085704,68.56151083315027,-9.362782545064562
gemini3_flash_preview_minimal,rewritten,AlignScore,0.42118767872452734,0.8647891581058502,-0.4436014793813229
gemini3_flash_preview_minimal,rewritten,SummaC,0.512061370909214,0.7922401368618011,-0.28017876595258706
